Year,Site,Species,Plant_number,Height(cm),Big_diam(cm),Small_diam(cm),Notes
2008,fp,LATR2,78,-888,-888,-888,Not_found
2008,fp,LATR2,79,125,119,92,na
2008,fp,LATR2,80,104,112,95,na
2008,fp,LATR2,81,90,145,122,na
2008,fp,LATR2,82,102,115,92,na
2008,fp,LATR2,83,-888,-888,-888,No_ID_-_has_branch_tags
2008,fp,LATR2,84,82,92,79,na
2008,fp,LATR2,85,109,179,169,na
2008,fp,LATR2,86,76,107,89,na
2008,fp,LATR2,87,-888,-888,-888,Not_found
2008,fp,LATR2,88,-888,-888,-888,Not_found
2008,fp,LATR2,89,-888,-888,-888,Not_found
2008,fp,LATR2,90,89,156,108,na
2008,fp,LATR2,91,59,95,97,na
2008,fp,LATR2,92,106,135,131,na
2008,fp,LATR2,93,99,109,92,na
2008,fp,LATR2,94,141,198,172,na
2008,fp,LATR2,95,-888,-888,-888,Not_found
2008,fp,LATR2,96,82,133,125,na
2008,fp,LATR2,97,52,110,77,No_ID_-_has_branch_tags
2008,fp,LATR2,98,161,220,210,na
2008,fp,LATR2,99,145,230,150,na
2008,fp,LATR2,100,-888,-888,-888,Dead
